Year,Month,Commodity No,Commodity,UN code,Country Name,Import Value (BD),Import Value (USA $),Import Weight (KG),Import Quantity,UM,Import_Date
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,HK,HONG KONG,52.805,143.88283378746596,1.605,2.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,BA,BOSNIA & HERZEGOVINA,72.364,197.17711171662123,0.4,3.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,CA,CANADA,42.204,114.99727520435968,1.455,3.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,RO,ROMANIA,268.567,731.7901907356949,1.36,7.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,FR,FRANCE,1557.457,4243.75204359673,6.021999999999999,19.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,DO,DOMINICAN REPUBLIC,39.612,107.93460490463217,1.45,24.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,PL,POLAND,438.398,1194.5449591280656,420.5,28.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,NI,NICARAGUA,61.627,167.92098092643053,2.21,36.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,SV,EL SALVADOR,215.955,588.433242506812,29.265,51.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,TW,TAIWAN,451.632,1230.6049046321525,421.643,68.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,GB,UNITED KINGDOM,1594.6699999999994,4345.149863760216,37.853000000000016,105.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,BG,BULGARIA,1363.019,3713.948228882834,28.767,148.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MU,MAURITIUS,498.36800000000005,1357.9509536784742,38.688,169.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,IT,ITALY,29406.632000000005,80127.06267029974,146.99499999999995,596.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MM,MYANMAR,1986.475,5412.738419618529,493.7510000000001,1357.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,PK,PAKISTAN,8169.478999999998,22260.16076294277,799.753,2015.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,BD,BANGLADESH,70073.256,190935.30245231607,12546.491999999997,59974.0,NO,2021-07-01
2021,July,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,CN,CHINA,177774.0430000001,484397.9373297005,30685.29800000001,154346.0,NO,2021-07-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,AL,ALBANIA,20.605246,54.80118617021276,0.233,1.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,CH,SWITZERLAND,319.917913532,850.845514712766,11.628,26.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,FR,FRANCE,331.541874314,881.7603040265957,2.427,12.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,GB,UNITED KINGDOM,1341.439266031121,3567.657622423194,156.48399999999998,473.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,GE,GEORGIA,331.58530957000005,881.8758233244682,48.80200000000001,84.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,GR,GREECE,362.669816504,964.5473843191488,2.6,15.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,LK,SRI LANKA,2945.5886840857984,7834.012457674996,146.19299999999998,566.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,LT,LITHUANIA,59.49046652,158.2193258510638,0.5,1.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MD,REPUBLIC OF MOLDOVA,222.530701232,591.8369713617021,17.039,68.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MG,MADAGASCAR,176.44772524,469.275865,3.4,27.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MR,MAURITANIA,76.8787134,204.4646632978724,1.369,5.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,PE,PERU,1281.9433196799998,3409.423722553191,27.109,114.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,PK,PAKISTAN,23149.8887481372,61568.853053556384,11311.380999999998,2807.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,SV,EL SALVADOR,1444.60074657,3842.023262154255,99.313,246.0,NO,2021-04-01
2021,April,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,US,UNITED STATES OF AMERICA,470.890673472,1252.3688124255318,4.5600000000000005,12.0,NO,2021-04-01
2021,May,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,ET,ETHIOPIA,16.6555125084,44.296575820212766,2.485,13.0,NO,2021-05-01
2021,May,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,FR,FRANCE,3296.858881464,8768.241706021276,16.506,18.0,NO,2021-05-01
2021,May,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,GT,GUATEMALA,641.4095747878,1705.8765286909577,112.594,171.0,NO,2021-05-01
2021,May,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MA,MOROCCO,7689.3533510379,20450.40784850505,301.351,1892.0,NO,2021-05-01
2021,May,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MD,REPUBLIC OF MOLDOVA,55.66810855000001,148.05348018617022,2.973,11.0,NO,2021-05-01
2021,May,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MG,MADAGASCAR,50.801709200000005,135.11092872340427,2.3,4.0,NO,2021-05-01
2021,May,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MX,MEXICO,831.764863731,2212.140595029255,51.945,274.0,NO,2021-05-01
2021,May,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,PK,PAKISTAN,23484.479044725224,62458.72086363092,1093.756,4751.0,NO,2021-05-01
2021,May,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,PT,PORTUGAL,27232.833670421107,72427.7491234604,899.8620000000002,3422.0,NO,2021-05-01
2021,May,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,RO,ROMANIA,103.668572773,275.7142892898936,2.813,13.0,NO,2021-05-01
2021,May,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,RS,SERBIA,512.5102138,1363.0590792553191,55.447,99.0,NO,2021-05-01
2021,May,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,SI,SLOVENIA,286.75039679,762.6340340159574,26.08,51.0,NO,2021-05-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,BE,BELGIUM,79.74062138000001,212.0761206914894,7.207,21.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,GB,UNITED KINGDOM,394.8939661974893,1050.2499100997054,38.126,134.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,GE,GEORGIA,1141.77352887,3036.6317257180854,106.76,323.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,GT,GUATEMALA,2126.36097363,5655.2153553989365,40.625,176.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,IT,ITALY,34389.84635833899,91462.35733600796,227.30500000000004,692.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,KH,CAMBODIA,17578.662250932597,46751.76130567181,1459.5970000000002,2787.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MA,MOROCCO,7243.48496977,19264.587685558512,286.0190000000002,1672.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MD,REPUBLIC OF MOLDOVA,185.96619432,494.5909423404256,14.014,59.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MX,MEXICO,1034.73957316,2751.966949893617,132.79999999999998,233.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,MY,MALAYSIA,3415.368606380801,9083.42714462979,228.092,528.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,PL,POLAND,910.92554656,2422.674325957447,18.867,44.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,PT,PORTUGAL,51376.40143776888,136639.36552598106,1599.7869999999991,6177.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,SV,EL SALVADOR,925.6671635499998,2461.88075412234,160.353,282.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,TH,THAILAND,2855.974018281001,7595.675580534576,344.016,1012.0,NO,2021-03-01
2021,March,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,TW,TAIWAN,210.87312,560.8327659574468,510.0,20.0,NO,2021-03-01
2021,August,61091000,KNITTED T-SHIRTS AND OTHER VESTS OF COTTON,PK,PAKISTAN,35299.791000000005,93882.42287234044,2692.681,9726.0,NO,2021-08-01
